Notif.date,Notification,Notification type,Functional Loc.,Equipments,Equipment Category,Description,Description Category,Main WorkCtr,Department,System status,Priority,Maintenance Days,Equipment Age (days),Predicted Maintenance Days
2024-02-14,150638821,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638822,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638823,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638824,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638825,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638826,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638827,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638828,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638829,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638830,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638831,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638832,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638833,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638834,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638835,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638836,G3,9010-011-BL-06-CDT-601,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638837,G3,9010-011-BL-06-CDT-601,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638838,G3,9010-011-BL-06-CDT-601,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638839,G3,9010-011-BL-06-CDT-601,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638840,G3,9010-011-BL-06-CDT-601,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638841,G3,9010-011-BL-06-CDT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638842,G3,9010-011-BL-06-CDT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638843,G3,9010-011-BL-06-CDT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638844,G3,9010-011-BL-06-CDT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638845,G3,9010-011-BL-06-CDT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638846,G3,9010-011-BL-06-PHT-601,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,19
2024-02-14,150638847,G3,9010-011-BL-06-PHT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638848,G3,9010-011-BL-06-PHT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638849,G3,9010-011-BL-06-PHT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638850,G3,9010-011-BL-06-PHT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638851,G3,9010-011-BL-06-PHT608,BL,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638857,G3,9010-011-BL-7-UV706A,BL,Miscellaneous,PM JOB 9010-011-BL-7-UV706A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638858,G3,9010-011-BL-7-UV706E,BL,Miscellaneous,PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638859,G3,9010-011-BL-7-FCV-703,BL,Miscellaneous,PM JOB 9010-011-BL-7-FCV-703,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638860,G3,9010-011-BL-7-PDCV-706A,BL,Miscellaneous,PM JOB 9010-011-BL-7-PDCV-706A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638861,G3,9010-011-BL-7-FCV-702,BL,Miscellaneous,PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638862,G3,9010-011-BL-7-UX-705A,BL,Miscellaneous,PM JOB 9010-011-BL-7-UX-705A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638863,G3,9010-011-BL-7-UX-705C,BL,Miscellaneous,PM JOB 9010-011-BL-7-UX-705C,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638864,G3,9010-011-BL-7-UV706B,BL,Miscellaneous,PM JOB 9010-011-BL-7-UV706B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638865,G3,9010-011-BL-7-UV706D,BL,Miscellaneous,PM JOB 9010-011-BL-7-UV706D,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638866,G3,9010-011-BL-7-UV706C,BL,Miscellaneous,PM JOB 9010-011-BL-7-UV706C,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638867,G3,9010-011-BL-7-UV704A,BL,Miscellaneous,PM JOB 9010-011-BL-7-UV704A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638868,G3,9010-011-BL-7-UV703A,BL,Miscellaneous,PM JOB 9010-011-BL-7-UV703A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638869,G3,9010-011-BL-7-HV-704B,BL,Miscellaneous,PM JOB 9010-011-BL-7-HV-704B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638870,G3,9010-011-BL-7-HV704C,BL,Miscellaneous,PM JOB 9010-011-BL-7-HV-704C,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638871,G3,9010-011-BL-7-FCV705,BL,Miscellaneous,PM JOB 9010-011-BL-7-FCV705,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638872,G3,9010-011-BL-7-TCV-701,BL,Miscellaneous,PM JOB 9010-011-BL-7-TCV-701,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638873,G3,9010-011-BL-7-PT-701A,BL,Miscellaneous,PM JOB 9010-011-BL-7-PT-701A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638874,G3,9010-011-BL-7-PT-701B,BL,Miscellaneous,PM JOB 9010-011-BL-7-PT-701B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638875,G3,9010-011-BL-7-PT-701B,BL,Miscellaneous,PM JOB 9010-011-BL-7-PT-701B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638876,G3,9010-011-BL-7-PT-701B,BL,Miscellaneous,PM JOB 9010-011-BL-7-PT-701B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638877,G3,9010-011-BL-7-PT-701B,BL,Miscellaneous,PM JOB 9010-011-BL-7-PT-701B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638878,G3,9010-011-BL-7-PT-701B,BL,Miscellaneous,PM JOB 9010-011-BL-7-PT-701B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638879,G3,9010-011-BL-7-PT-701B,BL,Miscellaneous,PM JOB 9010-011-BL-7-PT-701B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638880,G3,9010-011-BL-7-FCV-702,BL,Miscellaneous,PM JOB 9010-011-BL-7-FCV-702,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638883,G3,9010-011-BL-06-PDCV-606A,BL,Miscellaneous,PM JOB 9010-011-BL-06-PDCV-606A,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638884,G3,9010-011-BL-06-TT601B,BL,Miscellaneous,PM JOB 9010-011-BL-06-TT601B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638885,G3,9010-011-BL-06-TT601B,BL,Miscellaneous,PM JOB 9010-011-BL-06-TT601B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638886,G3,9010-011-BL-06-TT601B,BL,Miscellaneous,PM JOB 9010-011-BL-06-TT601B,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638887,G3,9010-011-BL-06-PT-601A,BL,Miscellaneous,PM JOB 9010-011-BL-06-PT-601A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638888,G3,9010-011-BL-06-PT-601A,BL,Miscellaneous,PM JOB 9010-011-BL-06-PT-601A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
